INFO:root:IP: 192.168.1.0, Port: 1905, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 1601, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1213, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.20, Port: 992, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 392, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.11, Port: 1727, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.0, Port: 1834, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.0, Port: 1948, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.17, Port: 956, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1495, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 127, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.1, Port: 623, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 273, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 281, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 930, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.18, Port: 134, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 81, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1351, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 531, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.6, Port: 1127, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.13, Port: 408, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 586, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1895, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 1977, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.17, Port: 863, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.17, Port: 1272, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.5, Port: 615, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.18, Port: 1046, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.16, Port: 917, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 1806, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.9, Port: 631, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.9, Port: 1924, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.20, Port: 11, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.16, Port: 475, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1657, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.12, Port: 1990, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.0, Port: 104, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 1394, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 899, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.13, Port: 796, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 1146, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.11, Port: 1645, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 267, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.20, Port: 1225, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 808, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.10, Port: 717, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.1, Port: 1029, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1625, Protocol: UDP, Action: allow
