INFO:root:IP: 192.168.1.0, Port: 1905, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 1601, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1213, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.20, Port: 992, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 392, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.11, Port: 1727, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.0, Port: 1834, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.0, Port: 1948, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.17, Port: 956, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1495, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 127, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.1, Port: 623, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 273, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 281, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.19, Port: 930, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.18, Port: 134, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 81, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1351, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.3, Port: 531, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.6, Port: 1127, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.13, Port: 408, Protocol: TCP, Action: allow
INFO:root:IP: 192.168.1.15, Port: 586, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.7, Port: 1895, Protocol: UDP, Action: allow
INFO:root:IP: 192.168.1.14, Port: 1977, Protocol: UDP, Action: allow
